,Name,Type,Family,Direction,Baseline,Case,White Space,ISO 15924 Code,Status,Diacritics,Contextual Forms,Complex Positioning,Reordering,Split Graphs,Ligatures,OpenType Tag,Unicode Range
123,Gurmukhi,abugida,Indic,LTR,hanging,no,between words,Guru / 310 (alphasyllabic),Current,yes,yes,yes,yes,no,required,"guru, gur2", 0A00..0A7F 
124,Naxi Dongba,,East Asian,[unspecified],[unspecified],[unknown],[unspecified],Nkdb / 085 (hieroglyphic/cuneiform),Current,[unknown],[unknown],[unknown],[unknown],[unknown],[unspecified],[none],N/A
125,Unwritten,,[unspecified],[unspecified],[unspecified],[unknown],[unspecified],[none],Current,[unknown],[unknown],[unknown],[unknown],[unknown],[unspecified],[none],N/A
126,HamNoSys Notation,featural,Signed Language,LTR,bottom,no,[unspecified],[none],Current,[unknown],[unknown],[unknown],[unknown],[unknown],[unspecified],[none],N/A
127,New Tai Lue,alphabet,Mainland Southeast Asian,LTR,hanging,no,[unspecified],Talu / 354 (alphasyllabic),Current,yes,[unknown],[unknown],yes,yes,optional,talu,1980..19DF
128,Vai,syllabary,African,LTR,bottom,no,none,Vaii / 470 (syllabic),Current,yes,yes,no,no,no,optional,vai,A500..A63F
129,"Han (Hanzi, Kanji, Hanja)",logo-syllabary,East Asian,vertical (RTL) and horizontal (LTR),centered,no,none,Hani / 500 (ideographic),Current,yes,[unknown],[unknown],[unknown],[unknown],,hani,0024
130,"Newa, Newar, Newari, Nepāla lipi",abugida,Indic,LTR,hanging,no,between words,Newa / 333 (alphasyllabic),Current,yes,yes,[unknown],yes,[unknown],required,newa,N/A
131,Wancho,alphabet,Indic,LTR,bottom,no,between words,Wcho / 283 (left-to-right alphabetic),Current,yes,no,no,no,no,none,wcho,1E2C0..1E2FF
132,Han (Simplified variant),logo-syllabary,East Asian,vertical (RTL) and horizontal (LTR),centered,no,none,Hans / 501 (ideographic),Current,[unknown],[unknown],no,no,[unknown],none,[none],0024
133,Nüshu,logo-syllabary,East Asian,vertical (LTR),vertical,no,[unspecified],Nshu / 499 (syllabic),Current,[unknown],no,[unknown],no,no,none,nshu, 16FE1 
134,Warang Citi (Varang Kshiti),abugida,Indic,LTR,bottom,no,[unspecified],Wara / 262 (left-to-right alphabetic),Current,no,[unknown],[unknown],no,no,none,wara,118A0..118FF
135,Han (Traditional variant),logo-syllabary,East Asian,vertical (RTL) and horizontal (LTR),centered,no,none,Hant / 502 (ideographic),Current,no,[unknown],no,no,[unknown],none,[none],0024
136,Nyiakeng Puachue Hmong,alphabet,[unspecified],LTR,bottom,no,[unspecified],Hmnp / 451 (syllabic),Current,yes,[unknown],[unknown],[unknown],[unknown],[unspecified],hmnp,1E100..1E14F
137,Yezidi,abjad,Middle Eastern,RTL,[unspecified],[unknown],[unspecified],Yezi / 192 (right-to-left alphabetic),Current,[unknown],[unknown],[unknown],[unknown],[unknown],[unspecified],yezi,10E80..10EBF
138,Han with Bopomofo (alias for Han + Bopomofo),logo-syllabary,East Asian,[unspecified],[unspecified],no,none,Hanb / 503 (ideographic),Current,no,[unknown],[unknown],no,no,none,[none], 3100..312F 
139,N’Ko,alphabet,African,RTL,bottom,no,between words,Nkoo / 165 (right-to-left alphabetic),Current,yes,[unknown],[unknown],[unknown],[unknown],[unspecified],nko,07C0..07FF
140,Yi,logo-syllabary,East Asian,vertical (RTL) and horizontal (LTR),bottom,no,none,Yiii / 460 (syllabic),Current,yes,yes,no,no,no,none,yi,A000..A48F
141,"Hangul (Hangŭl, Hangeul)",featural,East Asian,vertical (RTL) and horizontal (LTR),centered,no,between words,Hang / 286 (left-to-right alphabetic),Current,no,no,no,no,[unknown],[unspecified],hang,0024
142,"Ol Chiki (Ol Cemet’, Ol, Santali)",alphabet,Indic,LTR,bottom,no,[unspecified],Olck / 261 (left-to-right alphabetic),Current,yes,no,[unknown],[unknown],[unknown],[unspecified],olck,1C50..1C7F
143,Zhuang Square,logo-syllabary,East Asian,vertical (LTR) and horizontal (RTL),vertical,no,discretionary,[none],Current,[unknown],[unknown],[unknown],[unknown],[unknown],[unspecified],[none],N/A
144,Hanifi Rohingya,,Mainland Southeast Asian,RTL,bottom,no,[unspecified],Rohg / 167 (right-to-left alphabetic),Current,yes,[unknown],yes,[unknown],[unknown],[unspecified],rohg,10D00..10D3F
145,Oriya (Odia),abugida,Indic,LTR,hanging,no,between words,Orya / 327 (alphasyllabic),Current,yes,[unknown],[unknown],[unknown],yes,required,"orya, ory2", 0B00..0B7F 
146,Zou,,Mainland Southeast Asian,LTR,hanging,yes,discretionary,[none],Current,yes,[unknown],[unknown],[unknown],[unknown],required,[none],N/A
147,Hanunoo (Hanunóo),abugida,Insular Southeast Asian,vertical (LTR),vertical,no,none,Hano / 371 (alphasyllabic),Current,yes,yes,yes,[unknown],[unknown],required,hano,1720..173F
148,Osage,alphabet,American,LTR,bottom,yes,between words,Osge / 219 (left-to-right alphabetic),Current,yes,no,yes,no,no,[unspecified],osge,104B0..104FF
